period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
30,between_12_and_30,1,predpisy,95.72368421052632,89.56109134045077,6.162592870075542,0.39922555593710396,608.0,582.0,843.0,755.0,1.0688088184036248
30,between_12_and_30,1,prvopredpisy,99.47089947089947,87.96680497925311,11.504094491646356,0.4027012911144635,189.0,188.0,241.0,212.0,1.1307776779474892
30,between_12_and_30,1,kortikoidy,113.23163141975792,80.65588457185967,32.575746847898245,0.0,103939.375,117692.25,185570.0,149673.125,1.4038855567801152
30,between_12_and_30,1,imunosupresivy,92.99363057324841,96.93486590038314,-3.9412353271347342,0.8279631875142214,157.0,146.0,261.0,253.0,0.9593414063090053
30,between_12_and_30,2,predpisy,117.25571725571726,114.68428781204112,2.571429443676138,0.8074826621201188,481.0,564.0,681.0,781.0,1.0224218111542056
30,between_12_and_30,2,prvopredpisy,108.80503144654088,100.52083333333333,8.284198113207552,0.600956007497395,159.0,173.0,192.0,193.0,1.082412748069215
30,between_12_and_30,2,kortikoidy,139.35827265421426,110.30757391455452,29.050698739659737,0.0,82126.0,114449.375,125884.375,138860.0,1.2633608709603452
30,between_12_and_30,2,imunosupresivy,112.7659574468085,116.25000000000001,-3.4840425531915145,0.8844088418122693,141.0,159.0,240.0,279.0,0.9700297414779225
30,between_12_and_30,3,predpisy,116.66666666666667,113.85620915032679,2.8104575163398806,0.8369864273305088,228.0,266.0,765.0,871.0,1.0246842709529278
30,between_12_and_30,3,prvopredpisy,136.36363636363635,118.40490797546013,17.958728388176212,0.576001810433787,44.0,60.0,163.0,193.0,1.1516721620348562
30,between_12_and_30,3,kortikoidy,120.64187756256186,124.65493720267528,-4.0130596401134255,0.00003798670135037416,35365.0,42665.0,159889.375,199310.0,0.9678066530683127
30,between_12_and_30,3,imunosupresivy,76.92307692307693,115.80882352941177,-38.885746606334834,0.017911592425607872,104.0,80.0,272.0,315.0,0.6642246642246642
60,between_12_and_30,1,predpisy,103.20675105485233,92.17840982546865,11.028341229383685,0.039783373030216715,1185.0,1223.0,1547.0,1426.0,1.1196412614435944
60,between_12_and_30,1,prvopredpisy,101.03626943005182,92.71844660194175,8.317822828110067,0.4192442689098733,386.0,390.0,412.0,382.0,1.0897105498738573
60,between_12_and_30,1,kortikoidy,116.56309265830362,79.63376747564625,36.929325182657365,0.0,217175.625,253146.625,339347.25,270235.0,1.4637395209758368
60,between_12_and_30,1,imunosupresivy,100.33003300330033,100.60240963855422,-0.27237663525389166,1.0,303.0,304.0,498.0,501.0,0.9972925436256199
60,between_12_and_30,2,predpisy,109.74025974025975,104.35670524166099,5.383554498598755,0.372715768979998,1078.0,1183.0,1469.0,1533.0,1.0515880075566966
60,between_12_and_30,2,prvopredpisy,105.49132947976878,91.9047619047619,13.586567575006882,0.18149128055085517,346.0,365.0,420.0,386.0,1.1478331186917847
60,between_12_and_30,2,kortikoidy,121.07327866398181,102.1037573630468,18.969521300935014,0.0,192871.625,233516.0,300593.125,306916.875,1.1857867113889426
60,between_12_and_30,2,imunosupresivy,108.66666666666667,110.74380165289257,-2.0771349862259,0.8788254374728335,300.0,326.0,484.0,536.0,0.9812437810945273
60,between_12_and_30,3,predpisy,118.14345991561181,117.74516344229487,0.39829647331694673,0.9714478154889812,474.0,560.0,1499.0,1765.0,1.0033826992266408
60,between_12_and_30,3,prvopredpisy,123.63636363636363,124.69512195121952,-1.0587583148558934,1.0,110.0,136.0,328.0,409.0,0.9915092242720603
60,between_12_and_30,3,kortikoidy,123.75797679636145,114.83667262731119,8.92130416905026,2.873067597815015e-41,71594.375,88603.75,328194.375,376887.5,1.0776868918694926
60,between_12_and_30,3,imunosupresivy,91.53439153439153,117.32851985559567,-25.79412832120414,0.04129031109207627,189.0,173.0,554.0,650.0,0.7801546601546602
90,between_12_and_30,1,predpisy,109.30232558139534,99.72887483054677,9.573450750848565,0.043282728240092425,1720.0,1880.0,2213.0,2207.0,1.095994773500806
90,between_12_and_30,1,prvopredpisy,108.05860805860806,108.19672131147541,-0.1381132528673561,1.0,546.0,590.0,549.0,594.0,0.9987234987234985
90,between_12_and_30,1,kortikoidy,121.30156249749318,86.4434260896579,34.858136407835275,0.0,311648.5,378034.5,490087.875,423648.75,1.4032479736710215
90,between_12_and_30,1,imunosupresivy,105.60538116591928,102.41286863270777,3.192512533211513,0.737663222378685,446.0,471.0,746.0,764.0,1.0311729626934003
90,between_12_and_30,2,predpisy,105.07159904534606,101.06053910737958,4.011059937966479,0.39052081317585235,1676.0,1761.0,2263.0,2287.0,1.0396896748562228
90,between_12_and_30,2,prvopredpisy,101.30353817504655,88.55325914149444,12.750279033552118,0.11956821921638566,537.0,544.0,629.0,557.0,1.143984300037779
90,between_12_and_30,2,kortikoidy,107.67333386412349,99.32651334015961,8.346820523963885,3.6374946891001046e-138,317137.25,341472.25,464504.375,461376.0,1.0840341641247273
90,between_12_and_30,2,imunosupresivy,106.82819383259911,109.46666666666667,-2.6384728340675565,0.7727328924755386,454.0,485.0,750.0,821.0,0.9758970203952416
90,between_12_and_30,3,predpisy,113.14741035856575,113.90467861827722,-0.7572682597114664,0.9082439812626142,753.0,852.0,2287.0,2605.0,0.9933517370059112
90,between_12_and_30,3,prvopredpisy,121.14285714285715,111.04761904761904,10.095238095238116,0.47802793368068763,175.0,212.0,525.0,583.0,1.090909090909091
90,between_12_and_30,3,kortikoidy,121.12599751079873,111.53197886581539,9.594018644983336,3.600921144202247e-84,128053.125,155105.625,500965.625,558736.875,1.0860203391219836
90,between_12_and_30,3,imunosupresivy,89.6057347670251,115.07177033492823,-25.466035567903134,0.011630620755004886,279.0,250.0,836.0,962.0,0.7786943270814238
180,between_12_and_30,1,predpisy,112.30492196878753,106.14350851931846,6.161413449469066,0.07985765526330008,3332.0,3742.0,4167.0,4423.0,1.0580479535246157
180,between_12_and_30,1,prvopredpisy,112.39193083573487,110.74626865671642,1.6456621790184442,0.8312128522123317,1041.0,1170.0,1005.0,1113.0,1.0148597528294119
180,between_12_and_30,1,kortikoidy,114.2212816641832,96.52313591240241,17.698145751780785,0.0,637550.0,728217.78125,941761.0,909017.25,1.1833565143163436
180,between_12_and_30,1,imunosupresivy,110.66513761467891,108.68965517241381,1.975482442265104,0.7672300898992814,872.0,965.0,1450.0,1576.0,1.0181754412518047
180,between_12_and_30,2,predpisy,106.16142945163278,107.11928335690712,-0.9578539052743338,0.7825978921148727,3246.0,3446.0,4242.0,4544.0,0.991058062794512
180,between_12_and_30,2,prvopredpisy,107.50750750750751,101.70293282876064,5.804574678746874,0.3710947858645326,999.0,1074.0,1057.0,1075.0,1.0570738180040506
180,between_12_and_30,2,kortikoidy,108.65537355084642,103.56490936669958,5.090464184146839,1.3911666593670385e-98,627402.875,681706.9375,925356.625,958344.75,1.0491524032152888
180,between_12_and_30,2,imunosupresivy,106.35964912280701,112.36263736263736,-6.002988239830344,0.349129348811521,912.0,970.0,1456.0,1636.0,0.946574872388796
180,between_12_and_30,3,predpisy,117.56664388243337,113.56906077348066,3.9975831089527105,0.40107660359855835,1463.0,1720.0,4525.0,5139.0,1.0351995788441546
180,between_12_and_30,3,prvopredpisy,124.7191011235955,113.17254174397031,11.54655937962518,0.24913300700013447,356.0,444.0,1078.0,1220.0,1.1020261558298028
180,between_12_and_30,3,kortikoidy,120.88587524775707,113.84084425156267,7.045030996194399,8.574029115215203e-85,244001.625,294963.5,944072.875,1074740.53125,1.0618849152297787
180,between_12_and_30,3,imunosupresivy,101.50943396226415,114.97555012224939,-13.466116159985233,0.08016461132559252,530.0,538.0,1636.0,1881.0,0.8828784368009791
365,between_12_and_30,1,predpisy,126.06921565664197,121.16879859543516,4.900417061206809,0.07740691250755391,6617.0,8342.0,7974.0,9662.0,1.0404428955144516
365,between_12_and_30,1,prvopredpisy,122.66221374045803,113.78284581060983,8.8793679298482,0.07851233833013709,2096.0,2571.0,2017.0,2295.0,1.0780378436361822
365,between_12_and_30,1,kortikoidy,134.65273940789996,119.74293166945289,14.909807738447071,0.0,1242757.71875,1673407.3125,1689844.96875,2023469.90625,1.1245151386438843
365,between_12_and_30,1,imunosupresivy,125.55816686251468,128.51879145173174,-2.960624589217062,0.5765275881562283,1702.0,2137.0,2714.0,3488.0,0.9769634887180759
365,between_12_and_30,2,predpisy,128.20136852394916,122.38006230529595,5.821306218653206,0.040915841257781665,6138.0,7869.0,8025.0,9821.0,1.0475674395730497
365,between_12_and_30,2,prvopredpisy,129.58422174840086,115.76598909271195,13.818232655688917,0.009527706778548263,1876.0,2431.0,2017.0,2335.0,1.1193634915054584
365,between_12_and_30,2,kortikoidy,136.06434140362504,123.1426345676332,12.921706835991841,0.0,1182500.625,1608961.6875,1666130.125,2051716.53125,1.1049328437820203
365,between_12_and_30,2,imunosupresivy,124.82837528604118,128.6073223259153,-3.778947039874126,0.47456332268303153,1748.0,2182.0,2786.0,3583.0,0.9706163928186177
365,between_12_and_30,3,predpisy,117.44463373083475,115.479281923902,1.965351806932759,0.5619625278861002,2935.0,3447.0,8857.0,10228.0,1.0170190857978132
365,between_12_and_30,3,prvopredpisy,120.11173184357543,115.5607476635514,4.550984180024031,0.5197513034627187,716.0,860.0,2140.0,2473.0,1.0393817474535034
365,between_12_and_30,3,kortikoidy,120.38085996872576,108.39898863456474,11.981871334161013,0.0,514001.25,618759.125,1903787.625,2063686.53125,1.1105348996802393
365,between_12_and_30,3,imunosupresivy,106.12244897959184,122.01923076923077,-15.896781789638936,0.005280607345148772,1029.0,1092.0,3120.0,3807.0,0.8697190460108393
30,between_30_and_50,1,predpisy,90.29589564110722,94.83933787731256,-4.543442236205337,0.23582339680449915,3143.0,2838.0,2054.0,1948.0,0.9520932733410382
30,between_30_and_50,1,prvopredpisy,88.75,97.9328165374677,-9.182816537467701,0.28815844596935747,640.0,568.0,387.0,379.0,0.9062335092348284
30,between_30_and_50,1,kortikoidy,106.0819726689535,99.55617656362617,6.525796105327331,5.283487283027558e-84,390805.5625,414574.25,350505.375,348949.75,1.065548882355448
30,between_30_and_50,1,imunosupresivy,81.35048231511254,94.53125,-13.180767684887456,0.08924176131575554,622.0,506.0,512.0,484.0,0.8605670856474714
30,between_30_and_50,2,predpisy,93.59443631039531,94.04942007060009,-0.45498376020478304,0.9155928785926597,2732.0,2557.0,1983.0,1865.0,0.9951622906354634
30,between_30_and_50,2,prvopredpisy,100.1908396946565,99.45504087193461,0.7357988227218897,0.9615980815321703,524.0,525.0,367.0,365.0,1.0073983059709297
30,between_30_and_50,2,kortikoidy,93.26988909098111,91.12503989698324,2.144849193997871,5.224058523833251e-12,397645.75,370883.75,340721.25,310482.375,1.0235374294093327
30,between_30_and_50,2,imunosupresivy,102.48565965583174,88.86792452830188,13.617735127529855,0.11244910881975385,523.0,536.0,530.0,471.0,1.1532356606707181
30,between_30_and_50,3,predpisy,118.00766283524904,104.3897732754462,13.617889559802833,0.008096473166658723,1566.0,1848.0,2073.0,2164.0,1.1304523339069836
30,between_30_and_50,3,prvopredpisy,118.21561338289963,98.7012987012987,19.514314681600936,0.11133483058222302,269.0,318.0,385.0,380.0,1.1977108198004305
30,between_30_and_50,3,kortikoidy,131.76570197998328,112.27525448890752,19.490447491075756,0.0,201706.25,265779.65625,364419.125,409152.5,1.1735952198888255
30,between_30_and_50,3,imunosupresivy,108.80829015544042,91.1504424778761,17.65784767756432,0.06258716087312383,386.0,420.0,565.0,515.0,1.1937220182101718
60,between_30_and_50,1,predpisy,89.06635929524123,91.12343966712899,-2.057080371887764,0.4354099193729868,6073.0,5409.0,4326.0,3942.0,0.9774253432552348
60,between_30_and_50,1,prvopredpisy,86.87856560717196,87.99048751486326,-1.111921907691297,0.869873165835898,1227.0,1066.0,841.0,740.0,0.9873631577788057
60,between_30_and_50,1,kortikoidy,96.1020684165808,85.77370767191934,10.328360744661467,0.0,820709.3125,788718.625,780705.875,669640.375,1.1204140642277818
60,between_30_and_50,1,imunosupresivy,91.0873440285205,99.51219512195122,-8.424851093430718,0.1550396833616679,1122.0,1022.0,1025.0,1020.0,0.9153385061689561
60,between_30_and_50,2,predpisy,92.46503496503496,99.1182953710507,-6.653260406015747,0.017807085464904823,5720.0,5289.0,4083.0,4047.0,0.9328755566153638
60,between_30_and_50,2,prvopredpisy,94.32120674356699,101.31406044678056,-6.992853703213569,0.28660865583452605,1127.0,1063.0,761.0,771.0,0.9309784478839751
60,between_30_and_50,2,kortikoidy,98.44817071226493,95.57841252703854,2.869758185226388,8.025678289880782e-37,803656.375,791185.0,696517.375,665720.25,1.0300251710543378
60,between_30_and_50,2,imunosupresivy,95.44259421560035,93.53932584269663,1.9032683729037245,0.7600364013600547,1141.0,1089.0,1068.0,999.0,1.0203472534760878
60,between_30_and_50,3,predpisy,115.23925632429138,101.21025154247745,14.029004781813924,0.000059634274161028907,3281.0,3781.0,4214.0,4265.0,1.1386124880435262
60,between_30_and_50,3,prvopredpisy,111.05354058721935,91.86893203883496,19.18460854838439,0.013309148868023153,579.0,643.0,824.0,757.0,1.2088258579110798
60,between_30_and_50,3,kortikoidy,131.94090296895638,93.94542257257457,37.99548039638181,0.0,432033.125,570028.40625,848162.0,796809.375,1.4044420617410027
60,between_30_and_50,3,imunosupresivy,111.75710594315245,95.35315985130111,16.40394609185134,0.016183953938733203,774.0,865.0,1076.0,1026.0,1.1720335866942693
90,between_30_and_50,1,predpisy,89.02573125137452,93.05469235550031,-4.028961104125784,0.06087019682921334,9094.0,8096.0,6436.0,5989.0,0.9567032999396334
90,between_30_and_50,1,prvopredpisy,86.95417789757413,91.88102893890675,-4.926851041332625,0.3113779622354176,1855.0,1613.0,1244.0,1143.0,0.9463779291739476
90,between_30_and_50,1,kortikoidy,92.53998945840765,85.86656626521906,6.673423193188583,0.0,1298428.125,1201565.25,1185241.875,1017726.5,1.0777185286829352
90,between_30_and_50,1,imunosupresivy,93.14079422382672,99.6078431372549,-6.4670489134281866,0.18864579103902704,1662.0,1548.0,1530.0,1524.0,0.93507490264078
90,between_30_and_50,2,predpisy,95.52221713238663,100.40167095115682,-4.8794538187701875,0.03497976709530177,8732.0,8341.0,6224.0,6249.0,0.9514006711985507
90,between_30_and_50,2,prvopredpisy,95.36768963520555,99.49066213921901,-4.122972504013461,0.4359000870761772,1727.0,1647.0,1178.0,1172.0,0.9585592012821855
90,between_30_and_50,2,kortikoidy,102.27278079354785,96.85038410533274,5.422396688215116,1.1459743357023732e-188,1231466.375,1259454.90625,1097550.5,1062981.875,1.055987353465917
90,between_30_and_50,2,imunosupresivy,102.64900662251655,99.8063266623628,2.8426799601537454,0.5837854807171821,1661.0,1705.0,1549.0,1546.0,1.028481961567129
90,between_30_and_50,3,predpisy,112.9622344610543,100.73760200878846,12.224632452265837,0.000012037120519971192,5084.0,5743.0,6372.0,6419.0,1.1213512353728585
90,between_30_and_50,3,prvopredpisy,102.99003322259136,89.82084690553745,13.169186317053914,0.02887134824734377,903.0,930.0,1228.0,1103.0,1.1466161450348342
90,between_30_and_50,3,kortikoidy,130.63111832946637,92.22512336975073,38.40599495971564,0.0,673437.5,879718.9375,1271862.625,1172976.875,1.4164374473725299
90,between_30_and_50,3,imunosupresivy,105.72139303482587,100.31867431485023,5.402718719975638,0.3336721121306929,1206.0,1275.0,1569.0,1574.0,1.0538555633522348
180,between_30_and_50,1,predpisy,99.11540008041817,101.46499392958317,-2.3495938491650037,0.160301823599897,17409.0,17255.0,12355.0,12536.0,0.9768433056745106
180,between_30_and_50,1,prvopredpisy,92.15526601520087,102.09044368600682,-9.935177670805956,0.006483632699995712,3684.0,3395.0,2344.0,2393.0,0.9026825889662802
180,between_30_and_50,1,kortikoidy,100.94473396184749,100.52749093325598,0.4172430285915141,0.001302339064871907,2568186.625,2592449.15625,2255323.125,2267219.75,1.004150536581765
180,between_30_and_50,1,imunosupresivy,102.8322440087146,103.30188679245282,-0.4696427837382231,0.9004790330131569,3213.0,3304.0,2968.0,3066.0,0.9954536862944062
180,between_30_and_50,2,predpisy,96.89328108138808,99.2157794676806,-2.322498386292523,0.1542260091604336,17607.0,17060.0,12624.0,12525.0,0.9765914414143259
180,between_30_and_50,2,prvopredpisy,89.60152838427948,97.95501022494888,-8.353481840669403,0.018236067753493457,3664.0,3283.0,2445.0,2395.0,0.9147212396641474
180,between_30_and_50,2,kortikoidy,96.13284122230169,102.0253849274152,-5.8925437051135106,0.0,2647251.5,2544878.08125,2265557.0,2311443.25,0.9422443374332212
180,between_30_and_50,2,imunosupresivy,104.80652962515116,101.97628458498025,2.830245040170908,0.4380150097266624,3308.0,3467.0,3036.0,3096.0,1.0277539533009008
180,between_30_and_50,3,predpisy,115.73780245934154,103.27895073576457,12.45885172357697,7.410708897966625e-10,10084.0,11671.0,12504.0,12914.0,1.1206330199408443
180,between_30_and_50,3,prvopredpisy,109.49751518498067,94.04861693210394,15.448898252876731,0.0005397653282983369,1811.0,1983.0,2386.0,2244.0,1.1642650233126735
180,between_30_and_50,3,kortikoidy,133.07604160566646,97.99562816736982,35.080413438296645,0.0,1378922.75,1835015.8125,2323053.25,2276490.625,1.3579793720836373
180,between_30_and_50,3,imunosupresivy,108.0854629241726,105.89378238341969,2.1916805407529125,0.5957630458132154,2387.0,2580.0,3088.0,3270.0,1.0206969709781193
365,between_30_and_50,1,predpisy,111.30954158578467,108.25979976243,3.0497418233546654,0.01836594140962325,33485.0,37272.0,23572.0,25519.0,1.028170584372474
365,between_30_and_50,1,prvopredpisy,97.49345820134968,103.50022153300841,-6.006763331658732,0.025631689265964357,7261.0,7079.0,4514.0,4672.0,0.9419637635293074
365,between_30_and_50,1,kortikoidy,115.18888372371485,111.32344349374081,3.865440229974041,8.561900793725101e-303,4839919.7375,5575049.51875,4153588.390625,4623917.625,1.0347226074640008
365,between_30_and_50,1,imunosupresivy,112.93062009293382,111.42706687730384,1.503553215629978,0.5966418708458051,6241.0,7048.0,5697.0,6348.0,1.0134936084899875
365,between_30_and_50,2,predpisy,112.08065774470384,107.91721004585419,4.163447698849652,0.0012685275512539429,33326.0,37352.0,23771.0,25653.0,1.0385800160797392
365,between_30_and_50,2,prvopredpisy,98.98204439417503,103.18021201413427,-4.198167619959236,0.12312311581168045,7073.0,7001.0,4528.0,4672.0,0.9593122795736826
365,between_30_and_50,2,kortikoidy,113.48057763145228,110.80614427492425,2.674433356528027,1.2590844428706842e-149,4913121.4875,5575438.64375,4180416.984375,4632158.875,1.0241361467274992
365,between_30_and_50,2,imunosupresivy,114.6322500388742,110.65771349862258,3.97453654025162,0.156196126738709,6431.0,7372.0,5808.0,6427.0,1.0359173926027405
365,between_30_and_50,3,predpisy,111.1775878442545,102.21985647819574,8.957731366058766,9.410118854394994e-11,21060.0,23414.0,25362.0,25925.0,1.0876320088354803
365,between_30_and_50,3,prvopredpisy,100.17939518195797,90.6019656019656,9.57742957999237,0.001077758726559816,3902.0,3909.0,4884.0,4425.0,1.1057088498727294
365,between_30_and_50,3,kortikoidy,106.63870026960834,93.57441529331905,13.064284976289287,0.0,3297491.5625,3516402.14375,4626817.75,4329517.65625,1.139613856365951
365,between_30_and_50,3,imunosupresivy,113.27713382507902,109.08062691872678,4.196506906352241,0.1589798159599919,4745.0,5375.0,6189.0,6751.0,1.0384716060486063
30,between_50_and_60,1,predpisy,90.63604240282686,101.7605633802817,-11.124520977454836,0.010482282329235539,3396.0,3078.0,1420.0,1445.0,0.8906794478340078
30,between_50_and_60,1,prvopredpisy,100.48543689320388,104.62427745664739,-4.138840563443509,0.7994321610548445,412.0,414.0,173.0,181.0,0.960440916161562
30,between_50_and_60,1,kortikoidy,91.54581429932888,94.67114732647356,-3.125333027144677,1.1091721096655381e-17,374466.875,342808.75,210162.5,198963.25,0.9669874812400132
30,between_50_and_60,1,imunosupresivy,84.31734317343174,100.0,-15.682656826568262,0.12838571139933275,542.0,457.0,258.0,258.0,0.8431734317343174
30,between_50_and_60,2,predpisy,82.6836840289755,101.96078431372548,-19.277100284749977,0.000019357520681612895,2899.0,2397.0,1224.0,1248.0,0.8109361318226445
30,between_50_and_60,2,prvopredpisy,78.09798270893373,81.13207547169812,-3.034092762764388,0.8294159588558122,347.0,271.0,159.0,129.0,0.9626030426915086
30,between_50_and_60,2,kortikoidy,87.99728801613401,110.79106133429835,-22.79377331816434,0.0,326329.375,287161.0,163038.875,180632.5,0.7942634266370375
30,between_50_and_60,2,imunosupresivy,86.50442477876106,118.22222222222223,-31.717797443461166,0.006432230797813198,452.0,391.0,225.0,266.0,0.7317103599707232
30,between_50_and_60,3,predpisy,100.99696575639359,119.27042030134814,-18.273454544954546,0.000584784190711023,2307.0,2330.0,1261.0,1504.0,0.8467897195399755
