period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
30,between_12_and_30,1,predpisy,95.71045576407506,91.1149825783972,4.595473185677861,0.6327079447297098,373.0,357.0,574.0,523.0,1.0504359772194856
30,between_12_and_30,1,prvopredpisy,110.28037383177569,96.875,13.405373831775691,0.4854218092995548,107.0,118.0,160.0,155.0,1.1383780524570395
30,between_12_and_30,1,kortikoidy,107.29158042068327,74.72240852522543,32.56917189545784,0.0,63408.75,68032.25,125803.125,94003.125,1.4358688717115278
30,between_12_and_30,1,imunosupresivy,90.72164948453609,99.43502824858757,-8.713378764051484,0.650222272910314,97.0,88.0,177.0,176.0,0.9123711340206185
30,between_12_and_30,2,predpisy,115.01706484641639,115.88983050847457,-0.8727656620581854,0.959490060157344,293.0,337.0,472.0,547.0,0.9924690056217282
30,between_12_and_30,2,prvopredpisy,101.0,91.54929577464789,9.450704225352112,0.6419922995961113,100.0,101.0,142.0,130.0,1.1032307692307692
30,between_12_and_30,2,kortikoidy,132.6069815783815,120.29028012784357,12.31670145053792,1.4074622203814748e-37,48828.5,64750.0,83109.375,99972.5,1.102391493622326
30,between_12_and_30,2,imunosupresivy,103.7037037037037,120.0,-16.296296296296305,0.45071669443822,81.0,84.0,160.0,192.0,0.8641975308641975
30,between_12_and_30,3,predpisy,107.53424657534248,107.77777777777777,-0.24353120243529247,1.0,146.0,157.0,540.0,582.0,0.9977404321423529
30,between_12_and_30,3,prvopredpisy,148.0,111.30434782608695,36.69565217391305,0.3918624810709262,25.0,37.0,115.0,128.0,1.3296875
30,between_12_and_30,3,kortikoidy,112.88719737815838,119.80509808928039,-6.917900711122016,1.8012805051206649e-9,23647.5,26695.0,102808.125,123169.375,0.942257042300765
30,between_12_and_30,3,imunosupresivy,66.66666666666666,111.28205128205128,-44.61538461538463,0.021903690341010564,63.0,42.0,195.0,217.0,0.5990783410138248
60,between_12_and_30,1,predpisy,105.45454545454544,94.47619047619048,10.978354978354957,0.11552738553690714,715.0,754.0,1050.0,992.0,1.1162023460410555
60,between_12_and_30,1,prvopredpisy,109.63302752293578,103.2846715328467,6.348355990089075,0.6586865853132492,218.0,239.0,274.0,283.0,1.0614646481019225
60,between_12_and_30,1,kortikoidy,107.32613179005897,82.17271046742741,25.15342132263156,0.0,137586.25,147666.0,224834.375,184752.5,1.306104315892101
60,between_12_and_30,1,imunosupresivy,99.43820224719101,100.59171597633136,-1.153513729140343,0.9478204452746183,178.0,177.0,338.0,340.0,0.9885327164573694
60,between_12_and_30,2,predpisy,105.31107738998482,106.92682926829269,-1.6157518783078757,0.8346141389318265,659.0,694.0,1025.0,1096.0,0.9848891817950222
60,between_12_and_30,2,prvopredpisy,98.5781990521327,88.3495145631068,10.228684489025909,0.40499277037062165,211.0,208.0,309.0,273.0,1.1157752200406228
60,between_12_and_30,2,kortikoidy,122.03228651228761,114.26382248375629,7.7684640285313264,3.674308005135778e-38,108574.75,132496.25,203925.0,233012.5,1.0679870833975968
60,between_12_and_30,2,imunosupresivy,98.85057471264368,108.40840840840842,-9.557833695764742,0.5104717714729086,174.0,172.0,333.0,361.0,0.9118349412551341
60,between_12_and_30,3,predpisy,115.2542372881356,116.06463878326996,-0.8104014951343572,0.9641057519476283,295.0,340.0,1052.0,1221.0,0.9930176709837727
