period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
30,between_12_and_30,1,predpisy,93.16239316239316,85.17110266159695,7.991290500796211,0.513217944182194,234.0,218.0,263.0,224.0,1.0938263125763126
30,between_12_and_30,1,prvopredpisy,85.36585365853658,77.02702702702703,8.338826631509548,0.719623567891465,82.0,70.0,74.0,57.0,1.1082584510055626
30,between_12_and_30,1,kortikoidy,121.80111752712104,94.03142476697737,27.76969276014367,2.8800289472004733e-183,40155.625,48910.0,58671.875,55170.0,1.2953235349667491
30,between_12_and_30,1,imunosupresivy,94.82758620689656,82.55813953488372,12.269446672012833,0.6215595594695345,58.0,55.0,86.0,71.0,1.148615832928606
30,between_12_and_30,2,predpisy,125.55555555555556,107.31707317073172,18.23848238482384,0.2662887780821101,180.0,226.0,205.0,220.0,1.1699494949494949
30,between_12_and_30,2,prvopredpisy,125.0,134.04255319148936,-9.042553191489361,0.7942505427055317,56.0,70.0,47.0,63.0,0.9325396825396826
30,between_12_and_30,2,kortikoidy,152.8449803528777,91.2802746759875,61.56470567689021,0.0,32447.5,49594.375,40411.25,36887.5,1.674457936234559
30,between_12_and_30,2,imunosupresivy,132.75862068965517,105.12820512820514,27.630415561450036,0.3493107069308277,58.0,77.0,78.0,82.0,1.2628259041211103
30,between_12_and_30,3,predpisy,132.9268292682927,128.44444444444446,4.4823848238482356,0.8645727627821602,82.0,109.0,225.0,289.0,1.0348974597012406
30,between_12_and_30,3,prvopredpisy,121.05263157894737,135.41666666666669,-14.364035087719316,0.855575351461211,19.0,23.0,48.0,65.0,0.8939271255060728
30,between_12_and_30,3,kortikoidy,136.29187113292085,133.38990474104895,2.9019663918718948,0.10767076073406658,11717.5,15970.0,57081.25,76140.625,1.021755517387208
30,between_12_and_30,3,imunosupresivy,92.6829268292683,127.27272727272727,-34.58980044345897,0.27760903609660437,41.0,38.0,77.0,98.0,0.7282229965156795
60,between_12_and_30,1,predpisy,99.35205183585313,86.73267326732673,12.6193785685264,0.15093903954241714,463.0,460.0,505.0,438.0,1.145497401303786
60,between_12_and_30,1,prvopredpisy,91.51515151515152,75.36231884057972,16.152832674571798,0.2661916647891397,165.0,151.0,138.0,104.0,1.2143356643356644
60,between_12_and_30,1,kortikoidy,132.67222472942052,74.72424282933541,57.94798190008511,0.0,78939.375,104730.625,115012.875,85942.5,1.7754910549235539
60,between_12_and_30,1,imunosupresivy,101.66666666666666,96.3855421686747,5.281124497991954,0.7991543809891826,120.0,122.0,166.0,160.0,1.0547916666666666
60,between_12_and_30,2,predpisy,118.62745098039215,96.93654266958424,21.690908310807913,0.03350891659022814,408.0,484.0,457.0,443.0,1.223763997698402
60,between_12_and_30,2,prvopredpisy,115.90909090909092,100.88495575221239,15.024135156878529,0.47639148916587964,132.0,153.0,113.0,114.0,1.1489234449760766
60,between_12_and_30,2,kortikoidy,120.74297083223844,77.44880965294571,43.29416117929273,0.0,83246.875,100514.75,97949.375,75860.625,1.5590035711755585
60,between_12_and_30,2,imunosupresivy,127.64227642276423,111.9496855345912,15.69259088817303,0.4651417209320319,123.0,157.0,159.0,178.0,1.1401753905179501
60,between_12_and_30,3,predpisy,122.90502793296089,121.70022371364652,1.2048042193143687,0.9525278758461713,179.0,220.0,447.0,544.0,1.0098997699638514
60,between_12_and_30,3,prvopredpisy,122.72727272727273,159.52380952380955,-36.79653679653681,0.3221271885439092,44.0,54.0,84.0,134.0,0.7693351424694708
60,between_12_and_30,3,kortikoidy,133.07400203760304,119.23760627139228,13.836395766210757,2.8616958737871625e-34,26992.5,35920.0,113212.5,134991.875,1.1160405361939107
60,between_12_and_30,3,imunosupresivy,100.0,114.45783132530121,-14.457831325301214,0.4967441881777255,75.0,75.0,166.0,190.0,0.8736842105263157
90,between_12_and_30,1,predpisy,107.14285714285714,89.5397489539749,17.603108188882246,0.018675328382995213,686.0,735.0,717.0,642.0,1.1965954606141522
90,between_12_and_30,1,prvopredpisy,100.836820083682,90.21739130434783,10.619428779334172,0.43998967285086665,239.0,241.0,184.0,166.0,1.1177093310480415
90,between_12_and_30,1,kortikoidy,128.0246819957932,73.50188344419483,54.52279855159837,0.0,125273.5,160381.0,168209.125,123636.875,1.741787774635652
90,between_12_and_30,1,imunosupresivy,110.73446327683615,102.09205020920503,8.642413067631125,0.5814016492922705,177.0,196.0,239.0,244.0,1.0846531443919607
90,between_12_and_30,2,predpisy,111.66407465007777,95.16358463726885,16.50049001280891,0.03882223054209347,643.0,718.0,703.0,669.0,1.1733907993872148
90,between_12_and_30,2,prvopredpisy,103.3175355450237,93.37016574585635,9.947369799167348,0.5169026471819982,211.0,218.0,181.0,169.0,1.1065369191508456
90,between_12_and_30,2,kortikoidy,112.52712077183543,81.2313376778935,31.29578309394192,0.0,124961.875,140616.0,153928.125,125037.875,1.3852673609542052
90,between_12_and_30,2,imunosupresivy,120.72538860103627,110.7883817427386,9.937006858297678,0.5533877677053509,193.0,233.0,241.0,267.0,1.0896935825037357
90,between_12_and_30,3,predpisy,113.93728222996515,121.42857142857142,-7.4912891986062675,0.5313847627091894,287.0,327.0,672.0,816.0,0.9383070301291249
90,between_12_and_30,3,prvopredpisy,131.74603174603175,132.08955223880596,-0.3435204927742177,1.0,63.0,83.0,134.0,177.0,0.9973993363823873
90,between_12_and_30,3,kortikoidy,138.83479854528792,125.05303632988598,13.78176221540194,5.345304396409291e-49,43651.25,60603.125,160267.5,200419.375,1.110207337781436
90,between_12_and_30,3,imunosupresivy,86.77685950413223,111.71875,-24.941890495867767,0.11398271512008065,121.0,105.0,256.0,286.0,0.776743917239785
180,between_12_and_30,1,predpisy,112.92775665399239,100.70257611241217,12.225180541580215,0.037791730091262035,1315.0,1485.0,1281.0,1290.0,1.1213988858431339
180,between_12_and_30,1,prvopredpisy,107.01357466063348,103.0716723549488,3.9419023056846783,0.7519596904567551,442.0,473.0,293.0,302.0,1.0382442839591262
180,between_12_and_30,1,kortikoidy,118.18888921228081,88.2005031674484,29.98838604483241,0.0,249095.75,294403.5,295229.75,260394.125,1.340002437263873
180,between_12_and_30,1,imunosupresivy,116.1473087818697,104.19287211740043,11.95443666446927,0.2660650716429866,353.0,410.0,477.0,497.0,1.1147337281479244
180,between_12_and_30,2,predpisy,108.86581469648561,101.43721633888048,7.428598357605139,0.20525662822080126,1252.0,1363.0,1322.0,1341.0,1.0732334603188218
180,between_12_and_30,2,prvopredpisy,102.27272727272727,99.35275080906149,2.919976463665776,0.7890205300160431,396.0,405.0,309.0,307.0,1.0293899911163755
